,댓글
16,"사진재탕, 본인들 실수로 잘못먹여서 전신마취, 책임지겠다 해놓고 하루도 안지나서 케어포기 ..
당장 병원 바꾸시고 퇴원하면서 그동안 진료했던 기록 다 빼달라고 요구하세요
병원 다른곳으로 옮길때 여기 진료 기록 가져가셔서 상황설명하시고 얼마나 돌팔이였는지랑 치료할 방법 알려주실거에요"
17,사진 재탕한거부터 구린내 폴폴 나네
18,"병원에서 토미가 잘못 먹을만했던 게 뭐가 있었대? 정확히 뭐였는지 물어봐 보통 애들 잘못 먹었을 때 구토제 써서 토하게 하거든? 근데 왜 내시경까지 간 거였는지, 그 때 동안은 병원에서 뭘 한 건지 그리고 갑자기 케어 못하겠다고 발 빼는 이유는 뭐래? 정확한 사유를 고지해달라고 해 그래야 납득하고 다른 병원으로 가서 조치를 취하니까 녹음이나 카톡으로 해서 증거 꼭 남기고"
19,혹시 토미가 뭘 잘못 먹었다고 했을때 바로 내시경을 해야하니 전신마취 한다고 했나요? 그 전에 구토제를 쓴다거나 그런 말 따로 없었을까요? 보통 강아지가 뭘 잘못 먹으면 구토제를 쓸텐데..그리고 구토제를 썼다면 보호자에게 말을 했어야 하구요 정확히 뭘 먹어서 그런건지 들은게 아니라면 그것도 뭔지 병원측에 물어보셔야 할거 같아요 녹음은 꼭 해두시구요 요즘 CCTV 없는곳 드무니 CCTV도 확인해보세요 그리고 일단은 토미를 다른 병원으로 옮기는게 좋을거 같네요 지금 병원에서 받은 검사 진료 내역 토미가 먹었던 약들 내역 이런거 다 떼시구 다른 병원가서 다시 검사 받으시는게 좋을거 같아요..하루만에 말을 바꾼이유가 있을거 같네요 그리고 감정적으로 대응하면 말꼬리 잡을 수 있으니 잘 안되실거 알지만 최대한 침착하게 하시구여 병원 갈때 지인 동행해서 가시는 것도 좋을거 같아요 그때도 녹음은 필수구요
20,진짜 그 무엇보다도 흥분하지 말고 침착하세요. 애기부터 먼저 생각하세요. 너무 화나는 일인거 맞는데 흥분하면 놓치는게 많아져요. 화는 나중에 내도 늦지 않아요. 애기 건강에 제발 아무 일 없기를 바래요.
21,아고... 어뜩하냐 진짜 강아지 병원 비용이 싼 것도 아닌데 병원 너무 무책임 한 거 아니냐 보호자한테 책임지고 케어하겠다고 했으면서 이제와서 못하겠다니... 나도 몇주 전에 강아지 슬개골 수술해서 심정이 너무 이해가 간다 태준... 힘내라는 말밖에 할 수가 없어서 너무 안타깝다 진짜
22,@2ulynn 와 씹
23,@h____ji__ 이거방 ..
24,@g0_eun_chu 찌발 갖고싶어
25,@j_hyx_sxxg 오 토미티 좀 귀여운데🐶
26,귀욤ㅋㅋ
27,와 케이스 무조건 사야지 👏👏
28,@jenttobbi 살까 ??
29,@02_young_two 사길 잘한듯 진짜 개귀여워 ㅠㅠ
30,ㅅㅂ 토미티 개기여움;;; @tch4ll4
31,웰컴토미셔츠 s원한다……….ㅜㅜ
32,@dayoung6_25 니네오빠
33,❤️❤️❤️❤️❤️
34,@da_long2_ 다혀나 여기 무신사 맞지..!? 대박수
35,태준아 잘사네
36,언제 저렇게 컸대?
37,"댕청한 표정,, 졸귀😂"
38,토미 왤케 커졋어
39,@wookjae____
40,@s_byyyy 태주니 넘 귀여워
41,벌써 이렇게 컷누 ㅋㅋㅋㅋㅋ
42,많이컷다
43,이잉 너무기여워
44,이제시작이다 태준아 이제좀만 더있으면 토미가너이긴다
45,모야~~ 멍멍이 !! 태준이 닮었넹~
46,토미보고싶다!
47,강아지도 오빠 닮아갈려 하네..
48,아 토미야 사랑해 동생이랑 닮았어❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
49,@jy_316 엉엉 ㅠ 보더콜리래 너무 귀엽지않니 오크 예전모습 보는거담 ㅠㅠ
50,토미사진 더 더 더
51,아...토미넘귀엽다
52,읔 기여워..
53,너무 귀엽잖아ㅏㅏ😍
54,멍뭉
55,눈빛이 주인닮앗네
56,@yujiene 나도 술 먹으면 토미처럼 짖을 수 있는데…
57,"안녕하세요 한국스트리머협회 대표상담사 제프 김 이라고 합니다!
태준님께 DM 보내드렸으니 확인 한번 부탁드릴게용 👏🔥😍😍"
58,@xxlll_966
59,@nayoung_827 깐부 여기로왔네
60,화이팅 울아가
61,태쥬니형 홧팅
62,어라..?
63,누구지
64,안녕하세용~ DM드려도 될까여~??☺️
65,@sn__h.ui
66,@m40a6 뭐야 존잘
67,@yeon__p._.q 이분이분이분이분이분
68,와 오빠 너무 잘생겨써요 ..
69,"@_rrrxyn 잘생기긴 진짲 잘생기셨다,,^^❤️"
70,@_o9_zz 내꺼얌
71,Good!!
72,제발 일반카메라로 찍어줘.
73,"@s_byyyy 진짜 ,,,,,,,,,,,, 이태준 잘생김 멈춰 🙌"
74,생겨따
75,푹 쉬고오세염❤️❤️
76,입술 명랑젓같알
77,잘 쉬어라
78,보고시퍼용😢❤️
79,때주운
80,"안녕하세요 !~ 작년 9월달? 즈음에 살짝 길게 글 남겼던 사람 입니다!보셨을지는 모르겠네요.. 머리즘 식힐려고 유튜브로만 계속 보다가 오랜만에 인스타 보러 왔습니다~! 더이상 몸이든 마음이든 아프지 마시고 하고 싶은대로 하시면서 본인을 우선으로하며 살아가길 바랄게요~. "" ~하면 안돼. "" 보다는 "" ~해도 돼. "" 라고 생각하면서 살면 편할거예요. 다음에는 트위터로도 보러 갈게요, 항상 응원할게요~!. 편안하고 좋은 밤 되세요.🍀😊👍"
81,이형은뭘하든얼굴이똑같음?
82,싸랑해 이태준
83,디엠 한 번만 확인해주세요 중요한 문제여서요 😭
84,❤️
85,이태준 사랑해
86,형님 혹시 슈퍼릿 신발은 생각 없으십니까
87,댕 이뿌넹 ;;
88,머야 다 짱 이쁘다
89,학 기엽네ㅔ
90,오 이쁘다 ㅋㅋㅋㅋㅋ
91,슈퍼릿 재질 좋나용?
92,많관부 많관부
93,왜케예뻐
94,후드집업 되게예쁘네...
95,@ohaejin4 이쁘네
96,에휴 진짜...
97,계약서 내용은 없는걸
98,진짜 넌.....
99,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
100,그짓말 ㅋㅋㅋㅋㅋㅋㅋ
101,ㅋㅋㅋㅋㅋㅋㅋ 이태준!!!
102,글씨 봐라
103,ㅇㅉㄹㄱ❤️
104,아니 내용을 찍은것도아니고 내이름은 이태준 이것만 보여주네 ㅋㅋㅋ 역시 돌머리 ㅋㅋㅋ
105,🔥
106,이게 사인?
107,리다이준 ❤️
108,보정 개심하네
109,형 사랑해
110,축하드려요🙌🔥
111,형 싸랑해
112,형 사랑해
113,안녕하세요◡̈ 남자모델 제안드리고싶어서요ㅎㅎ
114,사랑해요 태준오빠 아니 삼촌
115,턱이 세모됐네
116,와진짜 못생겨졌누..
117,@hyori_wi 존나 잘생겼다 진심으로
118,생일 축하드려용❤️❤️
119,오버워치요
120,오... 머기업... 오.... ㅋㅋ ㅋㅋㅋ ㅋㅋ
121,"@vege_yun 무ㅜ야,, 처음에 ㅇ태준 해킹당한줄알았어"
122,오.......
123,태준 사진에 다른 사람이..
124,헐 ㅠㅠ 머야ㅑ? ㅜㅜㅜ???
125,방송이나 켜주셈 ㅠ.ㅠ
126,사진에 있는분은 누구시죠...? 누구신데 이태준 이름을 달고...
127,오 머기업이야ㅋㅋㅋㅋㅋㅋ
128,첨에 인스타 광곤줄ㅋㅋㅋㅋㅋㅋ
129,이태준 사랑해...
130,복붙티나는거봐 해킹인줄
131,아닠ㅋㅋㅋㅋ근데 왁굳만 그림인거 개웃기네
132,이건 좀 잘생겼네
133,@ahna0820 역시 잘생겼오
134,💕
135,@26uha 찾았다 내사랑
136,🖤🖤존잘
137,ㅋㅋㅋㅋㅋㅋㅋ
138,새해복 많이 받으셔요
139,사랑해요 리따이준❤️
140,디엠 봐주세요 유튜브 때문에 연락드렸어요
141,형형 ㅎ형형형형
142,@yezincozyboy 노래듣고 다시 봤는데 매치가 안됨
143,형 사랑해❤️❤️
144,❤️🤲🤲🤲🤲🤲
145,귀여워 ㅋㅋ❤️❤️
146,귀여우시닼ㅋㅋ
147,긔여어태주니
148,산타 할아버지 전 아이맥이여 노트북은 있는데 데탑이 없어요 아이맥 갖고 싶어요
149,저 뒤에 트리 다 펴줘야하는데...😭
150,이태준오빠 사랑해 사랑해 사랑해
151,유튜브랑 방송이나 켜라
152,넘 귀엽자나여 ㅡㅅㅡ
153,태준이형 너무 섹시한데?
154,방송잼둥
155,산타클로스 이리와 우리에게 많이 기다렸는데 오지 않았어... 슬프게도😢
156,@139201o_ 저희오빠예요
157,헐 티모!
158,귀여워
159,잘생겼누!!
160,오 뭐야 살 뺐나봐
161,뭐지..잘생겼어 태준..👏 머리 예쁘다🙃
162,리따이준 티모 하자~
163,@jh__131 때주니 잘생겨따
164,하위🙌
165,티...티모
166,티모기여웡ㅜㅜㅡㅠ💖💖💖💖
167,한참 지나고 봐도 개귀염ㅁ넹
168,형이 여길 왜가....?
169,가보고 싶다🔥🔥😢😢
170,코로나 조심🥺
171,뭔데 뭔데
172,👍👍👍
173,발로란트 땜에 갔어 ?
174,엌❤️
175,니 좀 멋나노^^
176,K/DA 리따이준ㅋㅋㅋㅋㅋㅋ
177,오우 쒜엣 ㅋㅋㅋ
178,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
179,기분탓인가 사진에 함군님 같은데요
180,덷아인 거 세상에 알리고 댕기네
181,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
182,그거 입고 이태원가봐
183,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
184,@10x_01 나도 데드아티스트 입구싶다
185,아앙 ㅠ 오빠 넘조아요
186,오빠 보고싶어요😢
187,ㅋㅋㅋㅋㅋㅋㅋㅋ내가다부끄럽네
188,@ce_zzi 나 유툽보면서 버건디 후드 예뻐서 사려다가 데드아티스트라고 적혀있어서 못 삼..
189,무섭네 ㄷ..
190,@m__jju 그렇대
191,이태준 형 화이팅😄
192,사야겠당
193,@sox2min 나 이거 사줭 ㅋㅋ
194,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
195,어쩔
196,솔직히 말해봐 본인이 적은 거지?
197,어제 올라온 유투브에서 형이 입던거에요?
198,@kid_o_h ㅁㅊ 진짜미쳣다미쳣다미쳣다
199,@jungsoothecpa 본인 브랜드와 콜라보 ㅋㅋㅋㅋㅋ
200,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
201,와 뭐야 개이쁘네
202,이거 어디서 사
203,아 사야겠네
204,홀리씻 시부레베이베이... 어케입어..
205,@_____tnals 오오잉? 생일각인가? ㅋㅋㅋㅋ피씨방에 갈때 품고 다녀 어때
206,개웃겨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ씨부레 뭔데
207,패드만 따로 팔면 좋을거같은데..
208,@buny__y 씨부레 후드를 어떻게 입엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ깔깔
209,ㅋㅋ미친 간지나는데 대드아티스트ㅋㅋ
210,ㅋㅋㅋ아닠ㅋㅋㅋ어케 입고다니냐고 ㅋㅋㅋㅋ
211,사주세요 태준님
212,완벽히 이해했어
213,쉿🤫
214,아니 어케 입고 다니냐고~!아 물론 살거임
215,@k_the_mind ㅋㅋㅋㅋㅋㅋ위기를 기회로~!~!
216,@ccow_kite_ 소연아 ㅎㅎ
217,사고 싶은데 살수가 없는 제품.. 부럽다 태준이
218,Add me ! My gamer tag is NarcoTitans
219,리뷰 ㄱㄱ
220,와 구매 실패했는데
221,와 컨트롤러 왤케 예쁨??
222,ps5 저주세요데헷
223,역세 공기청정기는 소니....
224,미친
225,와우 대박❤️❤️
226,PS4랑 달라진게 뭐가있죠?
227,나도 사고 싶다
228,이형 피어싱해도 잘어울리겠다
229,직접이라니..커여워서 주문함;
230,형 럭키박스 사는 사람한테 레어 템 으로 형 머리카락 한 가 닥 넣어주면 안데?
231,주둥이 내민 셀카 올려주지
232,나 슈퍼릿 너무 조아 ❤️🙌
233,태준형 난 형 사인 한개만 보내죠 >< DM남길개 주소
234,오빠 전 후르츠텔라 망고맛 세 개 넣어주세욯ㅎㅎ
235,@chae_rin1015 아 태준시 너무 조하
236,태준이 오빠 넣어쥬❤️
237,태준이 잘생겼다❤️❤️
238,control+c
239,@bliss_s._h
240,화이팅!!
241,훈훈하누
242,그것보단 결혼해야지 혀어엉!
243,뜨끈하게 입고 다닐 거 장만하러 슈퍼릿 갑니다
244,오늘 뱅송에서 어서 옷이나뿌려줘
245,형 옵치하자
246,잘생겼노
247,👍
248,때준..살빠져쏘..?!ㅠㅠ 힘드로쏘?ㅠㅠ😢
249,태준이형 오랜만이다 고마웡
250,존잘 존귀 제 사랑 ㅜㅜ ❤
251,사랑해...
252,이때준 최근 포스트 모야..
253,힘 🔥
254,맛있겠네요 본찌...
255,태 주 나 행 복 만 하 좌 〰️ 오늘 7시간 반 동안 넘 잼썼음 잘 장
256,불행하다고 생각 하지 마요ㅠㅠ 태준님 충분히 멋지세요
257,불행하게 안 둘게
258,아 형빨리와ㅡㅡ 형만기다리는 내맘모르겠어?!❤️
259,ㅇㅣ태준 행복하기만 하자 💖
260,행복해줘..
261,행복했으면 좋겠어요 누구를 위해서도 말고 자신을 위해서!😊
262,왐마 쥑이네
263,태준이형 여기 어디에요
264,"이태준 한단계 성장했다 ,,,"
265,구ㅣ여워 ㅠㅡㅠ
266,돼준
267,잘생겼노 ㅠ😢😢😢
268,살많이 빠진것 같기두?
269,따이준 요새 맴고생해? 살빠졌네🤔
270,형 슈퍼릿 옷샀는데 스티커도 같이 오더랑 너무 좋았엉 ㅋㅋ
271,@021.021.11 이제 돼준이 아니야?
272,슈퍼릿 신상 이뻐여👍🏻
273,ㅈㄴ 잘생겼다
274,기엽누
275,귀염땅ㅇ
